data,ticker,fechamento_ajustado,EV_EBIT,ROIC,EBIT_EV,valor_de_mercado,year,month
2021-11-30,PMAM3,9.14,-13.50777,-0.11561,-0.0740314648531919,407996181.0,2021,11
2021-12-30,PMAM3,10.11,-13.62774,-0.11561,-0.07337973868007462,438812913.0,2021,12
2022-01-31,PMAM3,8.14,-13.23065,-0.11561,-0.07558207646638676,336813868.0,2022,1
2022-02-25,PMAM3,7.77,-13.23234,-0.11561,-0.07557242332044067,337247907.0,2022,2
2022-03-31,PMAM3,8.57,-10.89209,-0.14693,-0.09180974450266202,376311371.0,2022,3
2022-04-29,PMAM3,7.78,-9.94415,-0.15921,-0.1005616367411996,337681945.0,2022,4
2022-05-31,PMAM3,6.87,-9.82701,-0.15921,-0.10176035233504394,301656751.0,2022,5
2022-06-30,PMAM3,5.73,-9.69152,-0.15921,-0.10318298883972792,259989056.0,2022,6
2022-07-29,PMAM3,7.89,-9.95967,-0.15921,-0.10040493309517284,342456369.0,2022,7
2022-08-31,PMAM3,7.53,-6.95082,-0.26794,-0.14386791774207935,334209637.0,2022,8
2022-09-30,PMAM3,6.09,-6.80447,-0.26794,-0.14696221748350716,263027325.0,2022,9
2022-10-31,PMAM3,5.92,-6.79912,-0.26794,-0.14707785713445268,260423094.0,2022,10
2022-11-30,PMAM3,5.97,-6.58924,-0.32121,-0.151762570493714,262159248.0,2022,11
2022-12-29,PMAM3,4.66,-6.47224,-0.32121,-0.15450601337404052,202261936.0,2022,12
2023-01-31,PMAM3,5.45,-6.5477,-0.32121,-0.15272538448615544,240891362.0,2023,1
2023-02-28,PMAM3,5.0,-6.50276,-0.32121,-0.15378085612878223,217887322.0,2023,2
2023-03-31,PMAM3,3.38,-2.34507,-3.70123,-0.42642650326003056,146705010.0,2023,3
2023-04-28,PMAM3,3.82,-2.35858,-3.70123,-0.4239839225296577,165802703.0,2023,4
2023-05-31,PMAM3,4.42,-2.52981,-3.42571,-0.39528660255117976,193147128.0,2023,5
2023-06-30,PMAM3,4.57,-2.53873,-3.42571,-0.39389773626970964,205734244.0,2023,6
2023-07-31,PMAM3,5.7,-2.56792,-3.42571,-0.3894202311598492,246967901.0,2023,7
2023-08-31,PMAM3,5.0,-3.56403,12.069,-0.2805812521218957,2196234759.0,2023,8
2023-09-29,PMAM3,4.86,-3.5094,12.069,-0.28494899413005076,2109427061.0,2023,9
